cur_prc,trde_qty,trde_prica,dt,open_pric,high_pric,low_pric,upd_stkpc_tp,upd_rt,bic_inds_tp,sm_inds_tp,stk_infr,upd_stkpc_event,pred_close_pric
55600,27577591,1505751,20250210,53000,55900,52900,,,,,,,
55700,24596196,1370658,20250211,55500,56300,55000,,,,,,,
55800,26428596,1460112,20250212,55100,55900,54500,,,,,,,
55800,22448377,1256946,20250213,56100,56400,55600,,,,,,,
56000,23979779,1354475,20250214,56000,57300,56000,,,,,,,
56000,11916027,667146,20250217,56100,56500,55700,,,,,,,
56900,22131007,1254588,20250218,56200,57200,55900,,,,,,,
58700,25395151,1481742,20250219,57400,58900,57300,,,,,,,
58400,21589059,1264910,20250220,59100,59100,58100,,,,,,,
58200,22198428,1281507,20250221,58400,58500,57100,,,,,,,
57300,14138471,811217,20250224,57300,57700,57200,,,,,,,
57200,14625181,837240,20250225,56600,57800,56500,,,,,,,
56600,18117091,1024931,20250226,57000,57100,56100,,,,,,,
56300,14975356,846531,20250227,56500,57100,56200,,,,,,,
54500,28036698,1540205,20250228,55400,55700,54500,,,,,,,
54500,18553933,1010215,20250304,53900,55000,53800,,,,,,,
54000,16578817,902622,20250305,55100,55400,54000,,,,,,,
54300,12258101,664505,20250306,54100,54500,54000,,,,,,,
53700,14274992,768394,20250307,53500,54200,53400,,,,,,,
53700,12921670,699341,20250310,53500,54800,53500,,,,,,,
53600,17740891,944012,20250311,52500,54100,52500,,,,,,,
54900,17973221,983462,20250312,53800,55300,53600,,,,,,,
54700,24132151,1327792,20250313,55800,55900,54200,,,,,,,
54700,10845154,594159,20250314,54500,55100,54400,,,,,,,
57600,35559021,2036157,20250317,55500,57800,55400,,,,,,,
57600,28138594,1638462,20250318,58800,59000,57300,,,,,,,
58500,29421759,1727221,20250319,57400,59200,57400,,,,,,,
60200,34989004,2088152,20250320,59200,60300,58500,,,,,,,
61700,40155612,2460691,20250321,60900,61700,60400,,,,,,,
60500,14088094,860213,20250324,61200,61600,60500,,,,,,,
59800,17259455,1039802,20250325,60900,61100,59500,,,,,,,
61400,16431645,1001627,20250326,59800,61400,59700,,,,,,,
61800,20389790,1256946,20250327,60900,62000,60800,,,,,,,
60200,16282514,983700,20250328,60700,61100,60000,4,0.00,,,,,
57800,17633494,1029324,20250331,59500,59700,57800,,,,,,,
58800,13841706,813517,20250401,58700,59600,57900,,,,,,,
58800,14402297,847775,20250402,58800,59400,58300,,,,,,,
57600,19508076,1118163,20250403,56900,57800,56900,,,,,,,
56100,23527139,1330710,20250404,56200,58200,55700,,,,,,,
53200,31998883,1713618,20250407,53300,54100,53100,,,,,,,
53500,25532845,1382306,20250408,55000,55300,53300,,,,,,,
53000,20576960,1101141,20250409,53300,54300,52900,,,,,,,
56400,22948172,1287044,20250410,56600,56700,55000,,,,,,,
55200,13930480,768599,20250411,55600,55700,54800,,,,,,,
56200,12852613,722365,20250414,56300,56700,55800,,,,,,,
56600,8998640,510391,20250415,56300,57100,56200,,,,,,,
54700,14437025,795695,20250416,56000,56200,54500,,,,,,,
55100,10867069,597525,20250417,54700,55300,54500,,,,,,,
55300,5848342,323290,20250418,55300,55600,54900,,,,,,,
55400,5941847,329495,20250421,55200,56000,55100,,,,,,,
55000,9532469,524576,20250422,54900,55500,54700,,,,,,,
55700,11148692,622063,20250423,56000,56100,55500,,,,,,,
55700,10580377,587440,20250424,55600,55800,55200,,,,,,,
55700,12183303,681776,20250425,56400,56400,55600,,,,,,,
55800,9341518,520363,20250428,55800,55900,55500,,,,,,,
55800,10295518,576762,20250429,55700,56500,55600,,,,,,,
55500,13014189,723346,20250430,55900,56000,55300,,,,,,,
54300,22454204,1227727,20250502,55000,55500,54200,,,,,,,
54600,17136991,934600,20250507,54500,55000,54300,,,,,,,
54600,16320532,894447,20250508,55100,55500,54500,,,,,,,
54800,7814322,427710,20250509,54700,55000,54400,,,,,,,
57600,15414702,865629,20250512,55200,57600,55000,,,,,,,
56900,16842801,964867,20250513,57700,58200,56800,,,,,,,
57400,12468089,716126,20250514,57500,57900,57000,,,,,,,
57300,13139736,758309,20250515,57400,58600,57100,,,,,,,
56800,10385352,591058,20250516,57400,57500,56700,,,,,,,
55800,9802105,547396,20250519,56400,56400,55500,,,,,,,
55900,9080577,509072,20250520,56200,56700,55700,,,,,,,
55700,7794181,436953,20250521,56200,56600,55700,,,,,,,
54700,15254278,836539,20250522,55300,55500,54500,,,,,,,
54200,11247115,613227,20250523,55000,55200,54100,,,,,,,
54700,10901337,592151,20250526,53900,55000,53700,,,,,,,
53900,13439520,726275,20250527,54200,54500,53800,,,,,,,
55900,17516283,973210,20250528,54300,56100,54200,,,,,,,
56100,12936810,725424,20250529,56200,56400,55600,,,,,,,
56200,26219683,1480159,20250530,56200,57200,55800,,,,,,,
56800,12870515,730319,20250602,56300,57300,56200,,,,,,,
57800,19649983,1130355,20250604,57200,57900,56800,,,,,,,
59100,23266027,1374247,20250605,58100,59900,57900,,,,,,,
59800,19609659,1177551,20250609,60400,60400,59500,,,,,,,
59200,15305760,906587,20250610,60000,60100,58800,,,,,,,
59900,13610734,813621,20250611,59500,60100,59400,,,,,,,
59500,17755115,1057637,20250612,59700,60000,59300,,,,,,,
58300,20705979,1210886,20250613,60200,60200,57700,,,,,,,
57200,22200872,1270631,20250616,58000,58100,56900,,,,,,,
58100,28637003,1679976,20250617,57800,59800,57400,,,,,,,
59800,17620705,1042741,20250618,58000,59800,57900,,,,,,,
59200,16876278,1003457,20250619,60500,60600,59000,,,,,,,
59500,18072251,1074366,20250620,59400,59800,59100,,,,,,,
58000,16551694,960057,20250623,58400,58500,57600,,,,,,,
60500,23737899,1427749,20250624,59400,60600,59300,,,,,,,
61300,23933612,1457360,20250625,61500,61600,60300,,,,,,,
60200,19402300,1171825,20250626,61300,61300,59900,,,,,,,
60800,17340470,1053939,20250627,60100,61600,60000,4,0.00,,,,,
59800,17110294,1030779,20250630,61200,61200,59800,,,,,,,
60200,13650991,827469,20250701,60400,61100,60200,,,,,,,
60800,15047951,909033,20250702,60200,60900,59800,,,,,,,
63800,32040639,2006401,20250703,61300,63800,61100,,,,,,,
63300,23748959,1509811,20250704,64700,64700,63000,,,,,,,
61700,17164708,1069011,20250707,62900,63300,61700,,,,,,,
61400,20213724,1243103,20250708,61600,62400,61000,,,,,,,
60400,17533415,1062832,20250709,61400,61400,60200,,,,,,,
61000,14768473,899089,20250710,60600,61200,60400,,,,,,,
62600,19140650,1193448,20250711,61300,62800,61200,,,,,,,
62500,13563846,843867,20250714,62300,62600,61800,,,,,,,
63700,18442202,1164849,20250715,62300,63800,62000,,,,,,,
64700,23042660,1479498,20250716,63700,64700,63100,,,,,,,
66700,39448683,2597602,20250717,65900,66800,64400,,,,,,,
67100,23951531,1607582,20250718,67000,67800,66300,,,,,,,
67800,17723148,1204017,20250721,67400,68800,67200,,,,,,,
66000,20829006,1389856,20250722,68100,68500,65600,,,,,,,
66400,15687058,1033696,20250723,66200,66500,64900,,,,,,,
66000,12660193,839577,20250724,66500,66800,65900,,,,,,,
65900,8080910,532537,20250725,65700,66300,65500,,,,,,,
