date,Open,High,Low,Close,Adj Close,Volume,symbol
2024-02-01,73000,74200,72900,73600,73600,19881033,005930
2024-02-02,74000,75200,73700,75200,75200,14955881,005930
2024-02-05,74200,74800,73500,74300,74300,19026021,005930
2024-02-06,74300,74700,73300,74400,74400,14559254,005930
2024-02-07,74600,75500,74300,75000,75000,16566445,005930
2024-02-08,75000,75200,73600,74100,74100,20810708,005930
2024-02-13,74800,75200,74400,75200,75200,21966745,005930
2024-02-14,73700,74300,73700,74000,74000,12434945,005930
2024-02-15,74200,74400,73000,73000,73000,14120600,005930
2024-02-16,73300,73400,72500,72800,72800,13444781,005930
2024-02-19,72800,73900,72800,73800,73800,12726404,005930
2024-02-20,73700,73700,72800,73300,73300,14681477,005930
2024-02-21,73400,73700,72900,73000,73000,11503495,005930
2024-02-22,73800,73900,72700,73100,73100,15208934,005930
2024-02-23,73600,74200,72900,72900,72900,16225166,005930
2024-02-26,72300,73200,72200,72800,72800,14669352,005930
2024-02-27,73100,73400,72700,72900,72900,13201981,005930
2024-02-28,72900,73900,72800,73200,73200,11795859,005930
2024-02-29,72600,73400,72000,73400,73400,21176403,005930
2024-03-04,74300,75000,74000,74900,74900,23210474,005930
2024-03-05,74600,74800,73700,73700,73700,19505125,005930
2024-03-06,73200,73500,72700,72900,72900,21547905,005930
2024-03-07,73100,73300,72200,72200,72200,14516963,005930
2024-03-08,72800,73400,72600,73300,73300,19271349,005930
2024-03-11,72900,73100,72300,72400,72400,9740504,005930
2024-03-12,72600,73500,72100,73300,73300,13011654,005930
2024-03-13,73700,74100,73500,74100,74100,15243134,005930
2024-03-14,74400,74500,73600,74300,74300,22545539,005930
2024-03-15,73400,73700,72300,72300,72300,22580555,005930
2024-03-18,72600,73000,72500,72800,72800,11520348,005930
2024-03-19,72300,73000,71700,72800,72800,15376066,005930
2024-03-20,73700,77200,73400,76900,76900,50106297,005930
2024-03-21,79200,79300,77700,79300,79300,44569799,005930
2024-03-22,79600,79900,77800,78900,78900,26724761,005930
